DATASET,SPLIT,roberta,speaker_mode,num_past_utterances,num_future_utterances,bsz,seed,timestamp,test_loss,test_f1_weighted,test_f1_micro,test_f1_macro,test_runtime,test_samples_per_second,,DATASET,SPLIT,roberta,speaker_mode,num_past_utterances,num_future_utterances,bsz,seed,timestamp,test_loss,test_f1_weighted,test_f1_micro,test_f1_macro,test_runtime,test_samples_per_second
IEMOCAP,test,roberta-large,upper,1000,1000,4,0,2021-05-08-16-15-19,0.935,0.6629,0.6615,0.65025,47.2523,34.326,,MELD,test,roberta-large,upper,1000,1000,4,3,2021-05-08-19-57-31,1.4337,0.657,0.6602,0.4923,37.7134,69.206
IEMOCAP,test,roberta-large,upper,1000,1000,4,1,2021-05-08-16-15-19,0.9833,0.6636,0.6658,0.64417,47.1478,34.402,,MELD,test,roberta-large,upper,1000,1000,4,0,2021-05-08-19-57-31,1.3584,0.6576,0.664,0.4868,37.9151,68.838
IEMOCAP,test,roberta-large,upper,1000,1000,4,3,2021-05-08-16-15-19,0.9855,0.6647,0.6652,0.64819,47.115,34.426,,MELD,test,roberta-large,upper,1000,1000,4,4,2021-05-08-19-57-31,1.4146,0.6623,0.6674,0.4974,37.6047,69.406
IEMOCAP,test,roberta-large,upper,1000,1000,4,4,2021-05-08-16-15-19,1.097,0.6878,0.688,0.67328,47.2598,34.321,,MELD,test,roberta-large,upper,1000,1000,4,1,2021-05-08-19-57-31,1.4682,0.6496,0.6556,0.4774,37.9585,68.759
IEMOCAP,test,roberta-large,upper,1000,1000,4,2,2021-05-08-16-15-19,0.9693,0.692,0.6911,0.68081,47.1837,34.376,,MELD,test,roberta-large,upper,1000,1000,4,2,2021-05-08-19-57-31,1.1304,0.6541,0.6663,0.4901,37.6408,69.34
IEMOCAP,test,roberta-large,None,1000,1000,4,2,2021-05-17-22-02-20,0.9596,0.5988,0.5999,0.57403,46.1238,35.166,,MELD,test,roberta-large,None,1000,1000,4,0,2021-05-17-18-24-48,1.1722,0.6493,0.6575,0.4693,29.3138,89.037
IEMOCAP,test,roberta-large,None,1000,1000,4,1,2021-05-17-22-02-20,0.9515,0.6445,0.6455,0.62888,46.2418,35.076,,MELD,test,roberta-large,None,1000,1000,4,4,2021-05-17-18-24-48,1.2838,0.6642,0.6739,0.5013,29.0112,89.965
IEMOCAP,test,roberta-large,None,1000,1000,4,3,2021-05-17-22-02-20,0.9147,0.6478,0.6486,0.63947,46.1955,35.112,,MELD,test,roberta-large,None,1000,1000,4,1,2021-05-17-18-24-48,2.0041,0.6408,0.6444,0.4749,29.4064,88.756
IEMOCAP,test,roberta-large,None,1000,1000,4,0,2021-05-17-22-02-20,0.9093,0.6531,0.6523,0.64435,46.2152,35.097,,MELD,test,roberta-large,None,1000,1000,4,3,2021-05-17-18-24-48,1.9172,0.655,0.6617,0.4972,29.4417,88.65
IEMOCAP,test,roberta-large,None,1000,1000,4,4,2021-05-17-22-02-20,0.9519,0.6566,0.656,0.63984,46.2573,35.065,,MELD,test,roberta-large,None,1000,1000,4,2,2021-05-17-18-24-48,1.682,0.6442,0.6498,0.4997,29.3058,89.061
IEMOCAP,test,roberta-large,upper,0,1000,4,2,2021-05-09-15-16-25,1.9681,0.6591,0.6597,0.64016,43.6133,37.19,,MELD,test,roberta-large,upper,0,1000,4,4,2021-05-10-09-49-06,1.2725,0.6429,0.6536,0.4783,28.6228,91.186
IEMOCAP,test,roberta-large,upper,0,1000,4,3,2021-05-09-15-16-25,1.8301,0.6633,0.6628,0.64787,43.6536,37.156,,MELD,test,roberta-large,upper,0,1000,4,0,2021-05-10-09-49-06,1.2407,0.6389,0.641,0.4672,28.5903,91.29
IEMOCAP,test,roberta-large,upper,0,1000,4,4,2021-05-09-15-16-25,1.8254,0.6642,0.6646,0.64551,43.5104,37.278,,MELD,test,roberta-large,upper,0,1000,4,1,2021-05-10-09-49-06,1.69,0.643,0.649,0.4828,29.188,89.42
IEMOCAP,test,roberta-large,upper,0,1000,4,0,2021-05-09-15-16-25,1.0335,0.668,0.6763,0.63716,43.9618,36.896,,MELD,test,roberta-large,upper,0,1000,4,2,2021-05-10-09-49-06,1.0641,0.6467,0.6628,0.4663,28.7181,90.883
IEMOCAP,test,roberta-large,upper,0,1000,4,1,2021-05-09-15-16-25,1.7993,0.6735,0.6739,0.65615,43.9186,36.932,,MELD,test,roberta-large,upper,0,1000,4,3,2021-05-10-09-49-06,1.0146,0.6398,0.6598,0.4471,28.8338,90.519
IEMOCAP,test,roberta-large,upper,1000,0,4,0,2021-05-09-12-19-54,0.9518,0.6476,0.6547,0.61468,44.1275,36.757,,MELD,test,roberta-large,upper,1000,0,4,1,2021-05-09-18-15-01,1.341,0.6405,0.6475,0.4508,28.8071,90.603
IEMOCAP,test,roberta-large,upper,1000,0,4,2,2021-05-09-12-19-54,1.0355,0.6802,0.6794,0.66744,44.1194,36.764,,MELD,test,roberta-large,upper,1000,0,4,2,2021-05-09-18-15-01,2.0621,0.6518,0.6571,0.4903,28.6568,91.078
IEMOCAP,test,roberta-large,upper,1000,0,4,1,2021-05-09-12-19-54,1.328,0.6833,0.6837,0.67296,44.0116,36.854,,MELD,test,roberta-large,upper,1000,0,4,4,2021-05-09-18-15-01,1.3222,0.6557,0.6648,0.5012,28.7962,90.637
IEMOCAP,test,roberta-large,upper,1000,0,4,3,2021-05-09-12-19-54,1.4031,0.7054,0.7059,0.69133,44.0441,36.827,,MELD,test,roberta-large,upper,1000,0,4,0,2021-05-09-18-15-01,2.1074,0.6475,0.654,0.4849,28.8679,90.412
IEMOCAP,test,roberta-large,upper,1000,0,4,4,2021-05-09-12-19-54,1.5787,0.7119,0.7121,0.69837,44.1226,36.761,,MELD,test,roberta-large,upper,1000,0,4,3,2021-05-09-18-15-01,2.0337,0.6321,0.6356,0.4755,28.7641,90.738
IEMOCAP,test,roberta-large,upper,0,0,16,2,2021-05-09-11-49-51,1.3783,0.5512,0.5549,0.53718,5.9139,274.268,,MELD,test,roberta-large,upper,0,0,16,1,2021-05-09-09-46-30,1.2924,0.6323,0.6345,0.4801,6.0173,433.75
IEMOCAP,test,roberta-large,upper,0,0,16,3,2021-05-09-11-49-51,1.332,0.5567,0.558,0.54477,5.8305,278.194,,MELD,test,roberta-large,upper,0,0,16,0,2021-05-09-09-46-30,1.0577,0.6387,0.659,0.4539,6.0316,432.723
IEMOCAP,test,roberta-large,upper,0,0,16,4,2021-05-09-11-49-51,1.3314,0.5621,0.5666,0.53884,5.9816,271.165,,MELD,test,roberta-large,upper,0,0,16,3,2021-05-09-09-46-30,1.0629,0.6427,0.654,0.4801,5.8908,443.067
IEMOCAP,test,roberta-large,upper,0,0,16,1,2021-05-09-11-49-51,1.2988,0.5626,0.5641,0.54305,5.9962,270.505,,MELD,test,roberta-large,upper,0,0,16,2,2021-05-09-09-46-30,1.2085,0.6279,0.6352,0.476,5.9999,435.009
IEMOCAP,test,roberta-large,upper,0,0,16,0,2021-05-09-11-49-51,1.3593,0.5718,0.5752,0.55213,5.8949,275.151,,MELD,test,roberta-large,upper,0,0,16,4,2021-05-09-09-46-30,1.1282,0.6314,0.6375,0.4563,6.0307,432.786
IEMOCAP,test,roberta-large,None,0,0,16,2,2021-05-09-11-21-35,1.2145,0.5514,0.5549,0.53243,5.4569,297.241,,MELD,test,roberta-large,None,0,0,16,0,2021-05-09-10-34-30,1.0473,0.6352,0.6479,0.467,5.5634,469.135
IEMOCAP,test,roberta-large,None,0,0,16,4,2021-05-09-11-21-35,1.229,0.5529,0.5549,0.52918,5.5027,294.764,,MELD,test,roberta-large,None,0,0,16,4,2021-05-09-10-34-30,1.0527,0.6496,0.6567,0.4902,5.5245,472.437
IEMOCAP,test,roberta-large,None,0,0,16,3,2021-05-09-11-21-35,1.2499,0.5568,0.5592,0.53892,5.3558,302.848,,MELD,test,roberta-large,None,0,0,16,1,2021-05-09-10-34-30,1.0479,0.6379,0.6483,0.469,5.5318,471.815
IEMOCAP,test,roberta-large,None,0,0,16,0,2021-05-09-11-21-35,1.3078,0.5627,0.566,0.54092,5.4045,300.122,,MELD,test,roberta-large,None,0,0,16,2,2021-05-09-10-34-30,1.13,0.6259,0.6307,0.4675,5.5221,472.651
IEMOCAP,test,roberta-large,None,0,0,16,1,2021-05-09-11-21-35,1.2989,0.57,0.574,0.54773,5.5181,293.941,,MELD,test,roberta-large,None,0,0,16,3,2021-05-09-10-34-30,1.0285,0.6385,0.6525,0.4623,5.4224,481.339
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATASET,SPLIT,roberta,speaker_mode,num_past_utterances,num_future_utterances,bsz,seed,timestamp,eval_loss,eval_f1_weighted,eval_f1_micro,eval_f1_macro,eval_runtime,eval_samples_per_second,,DATASET,SPLIT,roberta,speaker_mode,num_past_utterances,num_future_utterances,bsz,seed,timestamp,eval_loss,eval_f1_weighted,eval_f1_micro,eval_f1_macro,eval_runtime,eval_samples_per_second
MELD,val,roberta-large,upper,1000,1000,4,3,2021-05-08-19-57-31,1.3687,0.6731,0.6781,0.55697,15.502,71.539,,IEMOCAP,val,roberta-large,upper,1000,1000,4,3,2021-05-08-16-15-19,1.1035,0.6339,0.6316,0.6119,28.7048,34.141
MELD,val,roberta-large,upper,1000,1000,4,0,2021-05-08-19-57-31,1.2504,0.6791,0.6862,0.55511,15.9768,69.413,,IEMOCAP,val,roberta-large,upper,1000,1000,4,4,2021-05-08-16-15-19,1.1699,0.6591,0.6592,0.6414,28.7821,34.049
MELD,val,roberta-large,upper,1000,1000,4,4,2021-05-08-19-57-31,1.3772,0.673,0.6808,0.55356,15.4211,71.914,,IEMOCAP,val,roberta-large,upper,1000,1000,4,2,2021-05-08-16-15-19,1.0907,0.6434,0.6439,0.6243,28.7575,34.078
MELD,val,roberta-large,upper,1000,1000,4,1,2021-05-08-19-57-31,1.3503,0.6636,0.6718,0.53473,15.4441,71.807,,IEMOCAP,val,roberta-large,upper,1000,1000,4,1,2021-05-08-16-15-19,1.0807,0.6416,0.6439,0.6296,28.7627,34.072
MELD,val,roberta-large,upper,1000,1000,4,2,2021-05-08-19-57-31,1.0736,0.681,0.6907,0.57807,15.2888,72.537,,IEMOCAP,val,roberta-large,upper,1000,1000,4,0,2021-05-08-16-15-19,1.0022,0.6188,0.6184,0.6041,28.775,34.057
MELD,val,roberta-large,None,1000,1000,4,0,2021-05-17-18-24-48,1.0732,0.6584,0.67,0.53027,12.1892,90.982,,IEMOCAP,val,roberta-large,None,1000,1000,4,2,2021-05-17-22-02-20,0.9469,0.6182,0.6265,0.5799,27.949,35.064
MELD,val,roberta-large,None,1000,1000,4,4,2021-05-17-18-24-48,1.2709,0.6575,0.6682,0.52882,11.8565,93.535,,IEMOCAP,val,roberta-large,None,1000,1000,4,0,2021-05-17-22-02-20,0.9899,0.6128,0.6133,0.586,27.9498,35.063
MELD,val,roberta-large,None,1000,1000,4,1,2021-05-17-18-24-48,1.8339,0.6652,0.67,0.5641,11.8935,93.245,,IEMOCAP,val,roberta-large,None,1000,1000,4,4,2021-05-17-22-02-20,0.9942,0.6349,0.6316,0.6176,27.9985,35.002
MELD,val,roberta-large,None,1000,1000,4,3,2021-05-17-18-24-48,1.8188,0.6641,0.6682,0.5551,11.9833,92.545,,IEMOCAP,val,roberta-large,None,1000,1000,4,1,2021-05-17-22-02-20,0.9693,0.6108,0.6224,0.5881,27.983,35.021
MELD,val,roberta-large,None,1000,1000,4,2,2021-05-17-18-24-48,1.5643,0.6659,0.6709,0.53875,11.867,93.452,,IEMOCAP,val,roberta-large,None,1000,1000,4,3,2021-05-17-22-02-20,0.9908,0.6118,0.6153,0.5877,27.9693,35.038
MELD,val,roberta-large,upper,0,1000,4,4,2021-05-10-09-49-06,1.264,0.6428,0.6564,0.51644,11.9494,92.808,,IEMOCAP,val,roberta-large,upper,0,1000,4,4,2021-05-09-15-16-25,2.012,0.6406,0.6408,0.6278,26.5876,36.859
MELD,val,roberta-large,upper,0,1000,4,0,2021-05-10-09-49-06,1.2276,0.6314,0.6393,0.48571,12.2018,90.888,,IEMOCAP,val,roberta-large,upper,0,1000,4,0,2021-05-09-15-16-25,1.0482,0.6485,0.649,0.6357,26.543,36.921
MELD,val,roberta-large,upper,0,1000,4,1,2021-05-10-09-49-06,1.7283,0.6309,0.6411,0.50234,12.0593,91.963,,IEMOCAP,val,roberta-large,upper,0,1000,4,3,2021-05-09-15-16-25,2.0928,0.6395,0.6357,0.6276,26.6361,36.792
MELD,val,roberta-large,upper,0,1000,4,2,2021-05-10-09-49-06,1.1117,0.6359,0.6573,0.48895,11.9753,92.608,,IEMOCAP,val,roberta-large,upper,0,1000,4,2,2021-05-09-15-16-25,2.0323,0.6662,0.6673,0.6647,26.7978,36.57
MELD,val,roberta-large,upper,0,1000,4,3,2021-05-10-09-49-06,1.0498,0.6366,0.6573,0.48931,12.006,92.37,,IEMOCAP,val,roberta-large,upper,0,1000,4,1,2021-05-09-15-16-25,1.8669,0.6577,0.6551,0.6423,26.795,36.574
MELD,val,roberta-large,upper,1000,0,4,1,2021-05-09-18-15-01,1.2925,0.6504,0.6601,0.52038,11.8922,93.254,,IEMOCAP,val,roberta-large,upper,1000,0,4,3,2021-05-09-12-19-54,1.5671,0.6705,0.6724,0.665,26.9533,36.359
MELD,val,roberta-large,upper,1000,0,4,2,2021-05-09-18-15-01,2.0299,0.6591,0.6646,0.54946,11.7444,94.428,,IEMOCAP,val,roberta-large,upper,1000,0,4,0,2021-05-09-12-19-54,0.8812,0.6674,0.6704,0.651,27.1605,36.082
MELD,val,roberta-large,upper,1000,0,4,4,2021-05-09-18-15-01,1.2714,0.6625,0.6718,0.52203,11.8688,93.438,,IEMOCAP,val,roberta-large,upper,1000,0,4,4,2021-05-09-12-19-54,1.9419,0.6601,0.6622,0.6594,27.2976,35.901
MELD,val,roberta-large,upper,1000,0,4,0,2021-05-09-18-15-01,2.0012,0.6506,0.6592,0.52483,12.1675,91.144,,IEMOCAP,val,roberta-large,upper,1000,0,4,2,2021-05-09-12-19-54,1.0706,0.678,0.6827,0.6771,26.9844,36.317
MELD,val,roberta-large,upper,1000,0,4,3,2021-05-09-18-15-01,1.8815,0.6609,0.6664,0.5511,12.0261,92.216,,IEMOCAP,val,roberta-large,upper,1000,0,4,1,2021-05-09-12-19-54,1.4922,0.6571,0.6592,0.6463,27.1794,36.057
MELD,val,roberta-large,upper,0,0,16,1,2021-05-09-09-46-30,1.3242,0.6134,0.6195,0.492,2.4433,453.887,,IEMOCAP,val,roberta-large,upper,0,0,16,4,2021-05-09-11-49-51,1.2531,0.5552,0.5643,0.5157,2.9592,331.171
MELD,val,roberta-large,upper,0,0,16,0,2021-05-09-09-46-30,1.1053,0.6271,0.651,0.47227,2.4711,448.784,,IEMOCAP,val,roberta-large,upper,0,0,16,3,2021-05-09-11-49-51,1.2871,0.5659,0.5663,0.5464,2.9865,328.142
MELD,val,roberta-large,upper,0,0,16,3,2021-05-09-09-46-30,1.1043,0.6303,0.6438,0.49463,2.4018,461.731,,IEMOCAP,val,roberta-large,upper,0,0,16,1,2021-05-09-11-49-51,1.2474,0.5718,0.5837,0.5215,3.138,312.298
MELD,val,roberta-large,upper,0,0,16,2,2021-05-09-09-46-30,1.2043,0.6216,0.6321,0.48809,2.4365,455.165,,IEMOCAP,val,roberta-large,upper,0,0,16,0,2021-05-09-11-49-51,1.3756,0.5613,0.5684,0.5246,3.0687,319.351
MELD,val,roberta-large,upper,0,0,16,4,2021-05-09-09-46-30,1.1162,0.6264,0.6393,0.49538,2.3651,468.9,,IEMOCAP,val,roberta-large,upper,0,0,16,2,2021-05-09-11-49-51,1.2763,0.5669,0.5796,0.5267,3.0983,316.303
MELD,val,roberta-large,None,0,0,16,0,2021-05-09-10-34-30,1.0701,0.6253,0.6447,0.47937,2.2904,484.202,,IEMOCAP,val,roberta-large,None,0,0,16,2,2021-05-09-11-21-35,1.1757,0.5785,0.5745,0.5563,2.9337,334.05
MELD,val,roberta-large,None,0,0,16,4,2021-05-09-10-34-30,1.0676,0.63,0.6402,0.49747,2.2092,501.982,,IEMOCAP,val,roberta-large,None,0,0,16,3,2021-05-09-11-21-35,1.2012,0.5821,0.5765,0.559,2.8357,345.589
MELD,val,roberta-large,None,0,0,16,1,2021-05-09-10-34-30,1.0472,0.6371,0.651,0.50071,2.2866,485.009,,IEMOCAP,val,roberta-large,None,0,0,16,4,2021-05-09-11-21-35,1.1821,0.5724,0.5622,0.5423,2.8249,346.91
MELD,val,roberta-large,None,0,0,16,2,2021-05-09-10-34-30,1.1096,0.6318,0.6402,0.51009,2.2096,501.903,,IEMOCAP,val,roberta-large,None,0,0,16,0,2021-05-09-11-21-35,1.3537,0.5668,0.5602,0.5525,2.9222,335.364
MELD,val,roberta-large,None,0,0,16,3,2021-05-09-10-34-30,1.0494,0.631,0.6465,0.50083,2.2351,496.171,,IEMOCAP,val,roberta-large,None,0,0,16,1,2021-05-09-11-21-35,1.2862,0.5788,0.5704,0.5511,2.9785,329.02
